YEAR,WHYMOVE,MIGSTA1
2018,New job or job transfer,Montana
2018,New job or job transfer,Montana
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,Other family reason,New Jersey
2018,Other family reason,New Jersey
2018,Other family reason,New Jersey
2018,For cheaper housing,Maryland
2018,For cheaper housing,Maryland
2018,For cheaper housing,Maryland
2018,Other job-related reason,Colorado
2018,Other housing reason,Virginia
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other housing reason,Nevada
2018,Other family reason,California
2018,Other reasons,Nevada
2018,Change in marital status,Virginia
2018,Other family reason,Ohio
2018,Other family reason,Virginia
2018,Wanted new or better housing,Ohio
2018,Wanted new or better housing,Ohio
2018,Wanted new or better housing,Ohio
2018,Wanted new or better housing,Ohio
2018,Wanted new or better housing,Ohio
2018,Wanted new or better housing,Ohio
2018,Other job-related reason,Pennsylvania
2018,Other job-related reason,Pennsylvania
2018,To look for work or lost job,Ohio
2018,New job or job transfer,Maryland
2018,Attend/leave college,Pennsylvania
2018,Other family reason,Maryland
2018,Other family reason,Maryland
2018,Other family reason,Maryland
2018,Other family reason,Maryland
2018,Other family reason,Pennsylvania
2018,Other family reason,Texas
2018,Wanted new or better housing,West Virginia
2018,Wanted new or better housing,West Virginia
2018,Other family reason,South Carolina
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,Other housing reason,West Virginia
2018,Other housing reason,West Virginia
2018,Other housing reason,West Virginia
2018,Other reasons,Virginia
2018,Other reasons,Virginia
2018,For easier commute,Ohio
2018,For easier commute,Ohio
2018,New job or job transfer,South Carolina
2018,New job or job transfer,South Carolina
2018,New job or job transfer,South Carolina
2018,New job or job transfer,Vermont
2018,New job or job transfer,Vermont
2018,Wanted better neighborhood,Pennsylvania
2018,Wanted better neighborhood,Pennsylvania
2018,Wanted better neighborhood,Pennsylvania
2018,Wanted better neighborhood,Pennsylvania
2018,Wanted better neighborhood,Pennsylvania
2018,New job or job transfer,Tennessee
2018,Wanted better neighborhood,Pennsylvania
2018,Wanted better neighborhood,Pennsylvania
2018,New job or job transfer,Maryland
2018,Attend/leave college,Georgia
2018,New job or job transfer,Maryland
2018,New job or job transfer,Maryland
2018,New job or job transfer,Maryland
2018,New job or job transfer,Maryland
2018,Other job-related reason,Texas
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,Change in marital status,California
2018,New job or job transfer,California
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,New York
2018,Wanted new or better housing,Nevada
2018,Wanted new or better housing,Vermont
2018,Other family reason,Indiana
2018,Other family reason,Indiana
2018,Other family reason,Indiana
2018,Other family reason,Indiana
2018,Other family reason,Indiana
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,New job or job transfer,New York
2018,New job or job transfer,New York
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,New job or job transfer,Alaska
2018,New job or job transfer,Washington
2018,New job or job transfer,Washington
2018,New job or job transfer,Virginia
2018,New job or job transfer,Virginia
2018,New job or job transfer,Virginia
2018,New job or job transfer,Virginia
2018,For cheaper housing,New Jersey
2018,For cheaper housing,New Jersey
2018,For cheaper housing,New Jersey
2018,For cheaper housing,New Jersey
2018,For cheaper housing,New Jersey
2018,Retired,California
2018,Retired,California
2018,Retired,California
2018,Retired,California
2018,Change in marital status,Florida
2018,Change in marital status,Florida
2018,Change of climate,Florida
2018,Change of climate,Florida
2018,Change of climate,Florida
2018,Change of climate,Florida
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,For easier commute,North Carolina
2018,For easier commute,North Carolina
2018,For easier commute,North Carolina
2018,Other family reason,Connecticut
2018,New job or job transfer,Connecticut
2018,Other family reason,North Carolina
2018,Other family reason,North Carolina
2018,Change in marital status,Pennsylvania
2018,For easier commute,Pennsylvania
2018,For easier commute,Pennsylvania
2018,For easier commute,Pennsylvania
2018,Change in marital status,Georgia
2018,New job or job transfer,Massachusetts
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,Change of climate,Ohio
2018,Change of climate,Ohio
2018,New job or job transfer,Ohio
2018,New job or job transfer,Massachusetts
2018,To look for work or lost job,Florida
2018,To establish own household,Alabama
2018,To establish own household,Alabama
2018,Other reasons,Alabama
2018,Other reasons,Alabama
2018,Other reasons,Alabama
2018,To establish own household,South Carolina
2018,To establish own household,Alabama
2018,To establish own household,Alabama
2018,To establish own household,Alabama
2018,New job or job transfer,Alaska
2018,New job or job transfer,Alaska
2018,New job or job transfer,Alaska
2018,Change of climate,Pennsylvania
2018,Change of climate,Pennsylvania
2018,For cheaper housing,South Carolina
2018,For cheaper housing,South Carolina
2018,New job or job transfer,Alabama
2018,New job or job transfer,Michigan
2018,Other family reason,Michigan
2018,Retired,California
2018,Other housing reason,California
2018,Other housing reason,California
2018,Other housing reason,California
2018,Other housing reason,California
2018,New job or job transfer,Missouri
2018,New job or job transfer,Missouri
2018,New job or job transfer,Missouri
2018,New job or job transfer,Missouri
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,To establish own household,Missouri
2018,New job or job transfer,Virginia
2018,Other family reason,Florida
2018,Wanted new or better housing,Florida
2018,New job or job transfer,Alabama
2018,New job or job transfer,Alabama
2018,Other housing reason,California
2018,Wanted new or better housing,California
2018,Wanted new or better housing,California
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,New job or job transfer,Florida
2018,Other family reason,New York
2018,Change in marital status,Alabama
2018,Change in marital status,Alabama
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,New job or job transfer,Ohio
2018,New job or job transfer,Ohio
2018,New job or job transfer,Ohio
2018,To establish own household,Virginia
2018,To establish own household,Virginia
2018,To establish own household,Virginia
2018,To establish own household,Virginia
2018,Other reasons,Tennessee
2018,Other reasons,Tennessee
2018,Other reasons,Tennessee
2018,To look for work or lost job,Alaska
2018,To look for work or lost job,Alaska
2018,To look for work or lost job,Alaska
2018,To look for work or lost job,Alaska
2018,Wanted new or better housing,Pennsylvania
2018,For cheaper housing,Pennsylvania
2018,For cheaper housing,Pennsylvania
2018,For cheaper housing,Pennsylvania
2018,Other housing reason,Georgia
2018,Other housing reason,Georgia
2018,Other family reason,South Carolina
2018,Other family reason,South Carolina
2018,Other family reason,Ohio
2018,"Wanted to own home, not rent",Ohio
2018,To establish own household,Wisconsin
2018,Change of climate,Colorado
2018,Change of climate,Colorado
2018,To establish own household,Colorado
2018,To establish own household,Colorado
2018,To establish own household,Colorado
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,New job or job transfer,Kentucky
2018,New job or job transfer,Kentucky
2018,New job or job transfer,Kentucky
2018,New job or job transfer,New York
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,Other family reason,Maine
2018,Other family reason,Maine
2018,Other family reason,Maine
2018,Other family reason,Georgia
2018,Other family reason,Georgia
2018,Other family reason,Georgia
2018,Other family reason,Georgia
2018,New job or job transfer,Indiana
2018,New job or job transfer,Indiana
2018,To establish own household,North Carolina
2018,To establish own household,North Carolina
2018,To establish own household,North Carolina
2018,To establish own household,North Carolina
2018,To establish own household,North Carolina
2018,New job or job transfer,Iowa
2018,New job or job transfer,Connecticut
2018,New job or job transfer,Connecticut
2018,New job or job transfer,Connecticut
2018,New job or job transfer,Connecticut
2018,New job or job transfer,Iowa
2018,Other family reason,New York
2018,Other family reason,New York
2018,New job or job transfer,Iowa
2018,Other family reason,Iowa
2018,Retired,Pennsylvania
2018,Retired,Wisconsin
2018,Retired,Wisconsin
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,For cheaper housing,New York
2018,To look for work or lost job,Virginia
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Retired,New Jersey
2018,Retired,New Jersey
2018,Other family reason,North Carolina
2018,Change in marital status,Utah
2018,Other housing reason,Utah
2018,Other family reason,New Mexico
2018,New job or job transfer,Georgia
2018,Other family reason,Texas
2018,Wanted new or better housing,New Jersey
2018,Wanted new or better housing,New Jersey
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,Wanted new or better housing,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,Other family reason,Pennsylvania
2018,Other family reason,Pennsylvania
2018,Other family reason,Pennsylvania
2018,Other family reason,Pennsylvania
2018,Other family reason,Pennsylvania
2018,Other family reason,Pennsylvania
2018,Other family reason,Pennsylvania
2018,Other housing reason,Pennsylvania
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Illinois
2018,Other family reason,Ohio
2018,Change of climate,Maine
2018,Change of climate,Maine
2018,Change in marital status,Alabama
2018,Change in marital status,Alabama
2018,Wanted new or better housing,Indiana
2018,Wanted new or better housing,Indiana
2018,Wanted new or better housing,Indiana
2018,Change in marital status,Alabama
2018,Wanted new or better housing,Louisiana
2018,Wanted new or better housing,Louisiana
2018,Wanted new or better housing,Louisiana
2018,Wanted new or better housing,Louisiana
2018,Wanted new or better housing,Louisiana
2018,Change in marital status,Tennessee
2018,Change in marital status,Tennessee
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,Tennessee
2018,Other family reason,Tennessee
2018,Change in marital status,Ohio
2018,To establish own household,Georgia
2018,For easier commute,Tennessee
2018,For easier commute,Tennessee
2018,Change of climate,Minnesota
2018,Change of climate,Minnesota
2018,Change of climate,Minnesota
2018,Change of climate,Minnesota
2018,To establish own household,Virginia
2018,To establish own household,Virginia
2018,To establish own household,Virginia
2018,To establish own household,Alaska
2018,To establish own household,Wyoming
2018,To establish own household,Tennessee
2018,To establish own household,Tennessee
2018,To establish own household,Tennessee
2018,New job or job transfer,Alabama
2018,Other family reason,Florida
2018,Other family reason,Maryland
2018,Other family reason,Maryland
2018,Other family reason,Maryland
2018,Other housing reason,Indiana
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,For cheaper housing,Tennessee
2018,For cheaper housing,Tennessee
2018,New job or job transfer,Ohio
2018,New job or job transfer,Ohio
2018,New job or job transfer,North Dakota
2018,New job or job transfer,North Dakota
2018,New job or job transfer,North Dakota
2018,New job or job transfer,North Dakota
2018,For easier commute,Georgia
2018,For easier commute,Georgia
2018,For cheaper housing,Florida
2018,For cheaper housing,Florida
2018,For cheaper housing,Florida
2018,Other family reason,Kentucky
2018,To look for work or lost job,California
2018,To look for work or lost job,California
2018,To establish own household,California
2018,To establish own household,California
2018,Attend/leave college,New York
2018,Other job-related reason,Kentucky
2018,Other family reason,North Carolina
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Other family reason,Missouri
2018,New job or job transfer,Mississippi
2018,To establish own household,Mississippi
2018,New job or job transfer,North Dakota
2018,New job or job transfer,North Dakota
2018,To establish own household,North Dakota
2018,To establish own household,North Dakota
2018,To establish own household,North Dakota
2018,To establish own household,North Dakota
2018,To establish own household,North Dakota
2018,To establish own household,North Dakota
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,New job or job transfer,Illinois
2018,To look for work or lost job,Ohio
2018,Retired,Illinois
2018,Retired,Illinois
2018,Retired,Illinois
2018,Retired,Illinois
2018,Retired,Illinois
2018,Retired,Illinois
2018,Retired,Illinois
2018,To establish own household,California
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Other family reason,Colorado
2018,Other family reason,Florida
2018,New job or job transfer,Kansas
2018,New job or job transfer,Kansas
2018,New job or job transfer,Kansas
2018,New job or job transfer,Kansas
2018,Attend/leave college,Florida
2018,To look for work or lost job,Montana
2018,Change in marital status,Florida
2018,Change in marital status,Florida
2018,Change in marital status,Florida
2018,For cheaper housing,California
2018,For cheaper housing,California
2018,For cheaper housing,California
2018,Other family reason,Mississippi
2018,Other family reason,Mississippi
2018,Change in marital status,Mississippi
2018,Other family reason,Hawaii
2018,Other family reason,Hawaii
2018,Other family reason,Hawaii
2018,Other family reason,Hawaii
2018,Other family reason,Hawaii
2018,Change in marital status,Hawaii
2018,Change in marital status,Hawaii
2018,New job or job transfer,Georgia
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,To look for work or lost job,Mississippi
2018,Health reasons,Florida
2018,Other family reason,Arkansas
2018,Other family reason,Oregon
2018,Other family reason,Oregon
2018,Other family reason,Louisiana
2018,Health reasons,Louisiana
2018,Other reasons,California
2018,Other reasons,California
2018,Change of climate,Washington
2018,Change of climate,Washington
2018,Other reasons,Oklahoma
2018,To establish own household,Texas
2018,To establish own household,Texas
2018,To establish own household,Texas
2018,Attend/leave college,Tennessee
2018,Other family reason,Arkansas
2018,Change in marital status,Hawaii
2018,Other family reason,Arkansas
2018,Other family reason,Arkansas
2018,Natural disaster,Louisiana
2018,Natural disaster,Louisiana
2018,Natural disaster,Louisiana
2018,New job or job transfer,Arkansas
2018,New job or job transfer,Arkansas
2018,New job or job transfer,Arkansas
2018,New job or job transfer,Arkansas
2018,New job or job transfer,Arkansas
2018,Other reasons,Louisiana
2018,Other reasons,Minnesota
2018,Other reasons,Minnesota
2018,For cheaper housing,Louisiana
2018,For cheaper housing,Louisiana
2018,For cheaper housing,Louisiana
2018,For cheaper housing,Louisiana
2018,Other reasons,South Carolina
2018,Other reasons,South Carolina
2018,Other family reason,Virginia
2018,Wanted new or better housing,Tennessee
2018,Wanted new or better housing,Tennessee
2018,To establish own household,Texas
2018,To establish own household,Texas
2018,To establish own household,Texas
2018,To establish own household,Texas
2018,Other housing reason,Tennessee
2018,Other housing reason,Tennessee
2018,To establish own household,Missouri
2018,To establish own household,Missouri
2018,New job or job transfer,Louisiana
2018,New job or job transfer,Louisiana
2018,New job or job transfer,Louisiana
2018,New job or job transfer,Louisiana
2018,Other family reason,Texas
2018,Other family reason,Texas
2018,For cheaper housing,Tennessee
2018,For cheaper housing,Tennessee
2018,For cheaper housing,Tennessee
2018,Other family reason,Louisiana
2018,Other family reason,Texas
2018,Other family reason,Texas
2018,Other job-related reason,Ohio
2018,Other job-related reason,Ohio
2018,Other job-related reason,Ohio
2018,Other job-related reason,Ohio
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Attend/leave college,Texas
2018,Change in marital status,Florida
2018,Change in marital status,Florida
2018,Change in marital status,Florida
2018,Other reasons,Missouri
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Change in marital status,Oklahoma
2018,Other family reason,Oklahoma
2018,For easier commute,Florida
2018,For easier commute,Florida
2018,For easier commute,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Other family reason,Florida
2018,New job or job transfer,California
2018,To establish own household,Texas
2018,To establish own household,Texas
2018,New job or job transfer,Oklahoma
2018,Health reasons,Texas
2018,To look for work or lost job,Texas
2018,Health reasons,Texas
2018,Other family reason,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,Other housing reason,Wisconsin
2018,Other housing reason,Wisconsin
2018,Other housing reason,Wisconsin
2018,Other family reason,Georgia
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,Other job-related reason,Tennessee
2018,Other job-related reason,Tennessee
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,Other job-related reason,Texas
2018,Other job-related reason,Texas
2018,Other job-related reason,Texas
2018,Other job-related reason,Texas
2018,Change of climate,Ohio
2018,Change of climate,Ohio
2018,Other family reason,Ohio
2018,Other family reason,Ohio
2018,Other family reason,Ohio
2018,"Wanted to own home, not rent",Georgia
2018,"Wanted to own home, not rent",Georgia
2018,New job or job transfer,North Dakota
2018,New job or job transfer,North Dakota
2018,New job or job transfer,North Dakota
2018,New job or job transfer,North Dakota
2018,Attend/leave college,New York
2018,To establish own household,New York
2018,To establish own household,New York
2018,To establish own household,New York
2018,Natural disaster,Florida
2018,Natural disaster,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Wanted new or better housing,Florida
2018,Health reasons,Georgia
2018,Other reasons,Texas
2018,Other reasons,Texas
2018,Other reasons,Texas
2018,Other reasons,Texas
2018,Attend/leave college,New Hampshire
2018,"Wanted to own home, not rent",Georgia
2018,"Wanted to own home, not rent",Georgia
2018,"Wanted to own home, not rent",Georgia
2018,Foreclosure or eviction,Tennessee
2018,Other reasons,Michigan
2018,Other family reason,Michigan
2018,Other family reason,Michigan
2018,Other family reason,Michigan
2018,Other family reason,Texas
2018,Other family reason,Texas
2018,Other family reason,Texas
2018,New job or job transfer,New Mexico
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,To establish own household,Texas
2018,New job or job transfer,Kansas
2018,New job or job transfer,Kansas
2018,New job or job transfer,Kansas
2018,New job or job transfer,Kansas
2018,Other family reason,Michigan
2018,Other family reason,Michigan
2018,Other job-related reason,Missouri
2018,Other job-related reason,Missouri
2018,Other family reason,Texas
2018,Other family reason,Texas
2018,New job or job transfer,Missouri
2018,Health reasons,Texas
2018,New job or job transfer,Virginia
2018,For easier commute,Texas
2018,To look for work or lost job,Virginia
2018,To look for work or lost job,Virginia
2018,To look for work or lost job,Virginia
2018,To look for work or lost job,Virginia
2018,To look for work or lost job,Virginia
2018,Change of climate,New York
2018,Change of climate,New York
2018,Change of climate,New York
2018,New job or job transfer,Tennessee
2018,Wanted new or better housing,Tennessee
2018,Wanted new or better housing,Tennessee
2018,Wanted new or better housing,Tennessee
2018,Wanted new or better housing,Tennessee
2018,Change in marital status,Oklahoma
2018,Change in marital status,Oklahoma
2018,New job or job transfer,Hawaii
2018,New job or job transfer,Hawaii
2018,New job or job transfer,Hawaii
2018,New job or job transfer,Hawaii
2018,New job or job transfer,Hawaii
2018,New job or job transfer,Hawaii
2018,New job or job transfer,Hawaii
2018,New job or job transfer,Arizona
2018,New job or job transfer,Arizona
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,Other family reason,New York
2018,Attend/leave college,Maryland
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,For cheaper housing,Florida
2018,For cheaper housing,Florida
2018,Other reasons,Florida
2018,Other reasons,Florida
2018,Other reasons,Florida
2018,New job or job transfer,Alabama
2018,New job or job transfer,Alabama
2018,New job or job transfer,Alabama
2018,Other housing reason,Alabama
2018,New job or job transfer,Virginia
2018,Attend/leave college,Kansas
2018,Attend/leave college,Kansas
2018,Attend/leave college,Kansas
2018,Attend/leave college,Kansas
2018,Other family reason,California
2018,Other housing reason,California
2018,Other family reason,Arizona
2018,Other family reason,Nevada
2018,Attend/leave college,Florida
2018,New job or job transfer,Virginia
2018,New job or job transfer,Virginia
2018,New job or job transfer,North Carolina
2018,Other family reason,North Carolina
2018,Other family reason,Arizona
2018,Other family reason,Arizona
2018,For easier commute,Arizona
2018,Other family reason,South Carolina
2018,Wanted better neighborhood,Kentucky
2018,For easier commute,Kentucky
2018,For easier commute,Kentucky
2018,For easier commute,Kentucky
2018,For easier commute,Kentucky
2018,Other housing reason,Kentucky
2018,Other housing reason,Kentucky
2018,Other housing reason,Kentucky
2018,Other housing reason,Kentucky
2018,Change in marital status,Kentucky
2018,New job or job transfer,Florida
2018,New job or job transfer,Pennsylvania
2018,Other family reason,South Carolina
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,Other family reason,Iowa
2018,New job or job transfer,New York
2018,New job or job transfer,New York
2018,New job or job transfer,New York
2018,New job or job transfer,New York
2018,New job or job transfer,New York
2018,New job or job transfer,New York
2018,New job or job transfer,New York
2018,Change of climate,California
2018,Change of climate,California
2018,Other reasons,Indiana
2018,For easier commute,Alabama
2018,For easier commute,Alabama
2018,For easier commute,Alabama
2018,New job or job transfer,Massachusetts
2018,New job or job transfer,Indiana
2018,New job or job transfer,Maine
2018,New job or job transfer,Maine
2018,New job or job transfer,Maine
2018,Change in marital status,Illinois
2018,Other family reason,New Jersey
2018,Other job-related reason,Florida
2018,New job or job transfer,North Carolina
2018,New job or job transfer,North Carolina
2018,New job or job transfer,North Carolina
2018,New job or job transfer,North Carolina
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,For cheaper housing,California
2018,For cheaper housing,California
2018,For cheaper housing,California
2018,For cheaper housing,California
2018,For cheaper housing,California
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,Wanted new or better housing,Louisiana
2018,Wanted new or better housing,Louisiana
2018,Wanted new or better housing,Louisiana
2018,Wanted new or better housing,Louisiana
2018,Change in marital status,California
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,Florida
2018,Other family reason,New Jersey
2018,Other family reason,Maryland
2018,Other family reason,Maryland
2018,Wanted new or better housing,Tennessee
2018,New job or job transfer,Florida
2018,Retired,Oklahoma
2018,Retired,Oklahoma
2018,Retired,Oklahoma
2018,Natural disaster,Florida
2018,Natural disaster,Florida
2018,New job or job transfer,Nevada
2018,New job or job transfer,California
2018,New job or job transfer,California
2018,Other housing reason,Arizona
2018,Other housing reason,Arizona
2018,Other housing reason,Nevada
2018,Other housing reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,For easier commute,California
2018,For easier commute,California
2018,For easier commute,California
2018,New job or job transfer,Florida
2018,Other job-related reason,Arizona
2018,Other job-related reason,Arizona
2018,Other job-related reason,Arizona
2018,Other job-related reason,Arizona
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,Retired,Illinois
2018,Retired,Illinois
2018,Other family reason,Nevada
2018,Other family reason,Nevada
2018,New job or job transfer,Arizona
2018,Health reasons,Washington
2018,Health reasons,Washington
2018,Health reasons,Washington
2018,Health reasons,Washington
2018,Retired,Virginia
2018,Other family reason,Texas
2018,Other family reason,Washington
2018,New job or job transfer,North Carolina
2018,New job or job transfer,North Carolina
2018,Other family reason,Idaho
2018,New job or job transfer,Wisconsin
2018,Health reasons,Idaho
2018,Health reasons,Idaho
2018,Other reasons,Colorado
2018,To look for work or lost job,Texas
2018,New job or job transfer,Tennessee
2018,Other family reason,Tennessee
2018,Other family reason,Tennessee
2018,New job or job transfer,Idaho
2018,New job or job transfer,Idaho
2018,New job or job transfer,Idaho
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,Other family reason,Virginia
2018,Other reasons,Texas
2018,New job or job transfer,Washington
2018,New job or job transfer,Michigan
2018,New job or job transfer,Maryland
2018,Other family reason,District of Columbia
2018,Other family reason,District of Columbia
2018,Other family reason,Arizona
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,New job or job transfer,Texas
2018,To look for work or lost job,Washington
2018,New job or job transfer,Colorado
2018,New job or job transfer,Colorado
2018,Attend/leave college,California
2018,New job or job transfer,Washington
2018,New job or job transfer,Kansas
2018,"Wanted to own home, not rent",Wyoming
2018,"Wanted to own home, not rent",Wyoming
2018,Other family reason,Wyoming
2018,Other family reason,Wyoming
2018,"Wanted to own home, not rent",Wyoming
2018,"Wanted to own home, not rent",Wyoming
2018,"Wanted to own home, not rent",Wyoming
2018,New job or job transfer,Oregon
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,New job or job transfer,Georgia
2018,Other housing reason,Washington
2018,Other housing reason,Washington
2018,Other family reason,Alaska
2018,Other family reason,Alaska
2018,Other family reason,Alaska
2018,Other family reason,Alaska
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Michigan
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,New job or job transfer,Oregon
2018,Retired,Florida
2018,Retired,Florida
2018,New job or job transfer,Utah
2018,New job or job transfer,Utah
2018,Retired,Nevada
2018,New job or job transfer,California
2018,New job or job transfer,California
