YEAR,WHYMOVE,MIGSTA1,count
2018,Attend/leave college,Nebraska,3309.95
2018,To look for work or lost job,Missouri,1532.92
2018,Attend/leave college,Minnesota,1616.91
2018,For cheaper housing,Georgia,607.87
2018,New job or job transfer,Iowa,16578.27
2018,New job or job transfer,South Dakota,10661.07
2018,Wanted new or better housing,Texas,11597.96
2018,Other reasons,South Dakota,1047.81
2018,To establish own household,Colorado,15090.07
2018,To look for work or lost job,Kansas,1605.77
2018,Attend/leave college,New Mexico,1363.33
2018,Other housing reason,New York,2806.62
2018,Other family reason,Kansas,793.19
2018,For cheaper housing,Iowa,1841.6999999999998
2018,New job or job transfer,Missouri,27321.82
2018,For cheaper housing,Ohio,2098.24
2018,Change in marital status,New Mexico,1204.02
2018,New job or job transfer,New Mexico,26589.68
2018,New job or job transfer,Nebraska,6018.59
2018,For cheaper housing,Nebraska,3948.22
2018,Change in marital status,Nebraska,3554.24
2018,For cheaper housing,Missouri,8437.49
2018,Attend/leave college,Arkansas,5458.6900000000005
2018,Wanted new or better housing,South Dakota,2693.1099999999997
2018,Wanted new or better housing,Missouri,5409.46
2018,Change in marital status,Oklahoma,9805.76
2018,Health reasons,Oklahoma,3631.24
2018,Retired,Florida,2231.74
2018,Change in marital status,Pennsylvania,2424.4
2018,To establish own household,Maryland,5087.06
2018,Wanted better neighborhood,Georgia,322.76
2018,Other family reason,Pennsylvania,27827.58
2018,Change in marital status,Virginia,5374.12
2018,"Wanted to own home, not rent",Maryland,2531.35
2018,Attend/leave college,Utah,7618.88
2018,For easier commute,Virginia,9861.12
2018,Wanted new or better housing,District of Columbia,7045.68
2018,Other reasons,Pennsylvania,3787.82
2018,To look for work or lost job,Pennsylvania,2281.37
2018,For easier commute,District of Columbia,2590.46
2018,New job or job transfer,Vermont,11517.04
2018,Wanted new or better housing,Maryland,509.01
2018,Other job-related reason,California,701.74
2018,For easier commute,Maryland,1541.8400000000001
2018,Other reasons,Maryland,150.96
2018,For easier commute,Tennessee,7573.26
2018,Other family reason,Maryland,23675.1
2018,New job or job transfer,Tennessee,21158.55
2018,Attend/leave college,Missouri,200.85
2018,New job or job transfer,Georgia,34594.68
2018,For easier commute,Vermont,1265.5900000000001
2018,To look for work or lost job,New York,6579.7699999999995
2018,Other housing reason,Maryland,338.2
2018,New job or job transfer,Arkansas,14200.09
2018,Wanted better neighborhood,Maryland,212.13
2018,For cheaper housing,Maryland,2469.5499999999997
2018,Change of climate,Pennsylvania,12573.2
2018,Other family reason,District of Columbia,3938.71
2018,Other reasons,Arizona,3519.8599999999997
2018,"Wanted to own home, not rent",District of Columbia,1847.45
2018,For cheaper housing,Illinois,11566.8
2018,Retired,Arizona,7323.2
2018,Other job-related reason,Pennsylvania,7937.839999999999
2018,Wanted better neighborhood,Pennsylvania,29183.11
2018,For cheaper housing,District of Columbia,5370.63
2018,Other family reason,Rhode Island,2199.83
2018,Other housing reason,Rhode Island,7903.71
2018,Change in marital status,West Virginia,3674.72
2018,Other housing reason,West Virginia,11782.17
2018,Other family reason,West Virginia,3568.57
2018,Retired,West Virginia,7071.16
2018,For cheaper housing,New Jersey,30720.989999999998
2018,Other family reason,New Jersey,8390.96
2018,Other job-related reason,Colorado,954.77
2018,Other housing reason,Virginia,452.7
2018,Other housing reason,Nevada,11087.78
2018,Other reasons,Nevada,685.11
2018,Wanted new or better housing,Ohio,2075.5299999999997
2018,To look for work or lost job,Ohio,4325.57
2018,Wanted new or better housing,West Virginia,5606.3
2018,Other job-related reason,Texas,15582.46
2018,Wanted new or better housing,Nevada,3760.93
2018,Wanted new or better housing,Vermont,6013.33
2018,New job or job transfer,Washington,20313.87
2018,Retired,California,13573.86
2018,Change of climate,Florida,7547.65
2018,For easier commute,Pennsylvania,10652.3
2018,Change in marital status,Georgia,5228.11
2018,Change of climate,Ohio,8236.32
2018,To look for work or lost job,Florida,5329.74
2018,To establish own household,Alabama,9224.28
2018,Other reasons,Alabama,5496.49
2018,To establish own household,South Carolina,1780.18
2018,For cheaper housing,South Carolina,3683.69
2018,To establish own household,Missouri,4851.78
2018,Wanted new or better housing,Florida,17771.98
2018,Change in marital status,Alabama,15297.49
2018,To establish own household,Virginia,11533.07
2018,Other reasons,Tennessee,12763.96
2018,To look for work or lost job,Alaska,7208.03
2018,Wanted new or better housing,Pennsylvania,4749.72
2018,Other housing reason,Georgia,7975.38
2018,"Wanted to own home, not rent",Ohio,3913.33
2018,Change of climate,Colorado,37131.21
2018,Other family reason,Maine,11919.87
2018,To establish own household,North Carolina,11925.23
2018,Retired,Pennsylvania,3833.16
2018,Retired,Wisconsin,8609.16
2018,To look for work or lost job,Virginia,10587.17
2018,Retired,New Jersey,16462.1
2018,Change in marital status,Utah,4347.1
2018,Other housing reason,Utah,4736.69
2018,Other family reason,New Mexico,1823.5800000000002
2018,Wanted new or better housing,New Jersey,7882.17
2018,Other housing reason,Pennsylvania,3695.25
2018,Change of climate,Maine,9386.54
2018,Wanted new or better housing,Indiana,8637.88
2018,Wanted new or better housing,Louisiana,18672.64
2018,Change in marital status,Tennessee,5287.030000000001
2018,To establish own household,Georgia,3524.44
2018,Change of climate,Minnesota,13449.22
2018,To establish own household,Alaska,1510.02
2018,To establish own household,Wyoming,1510.02
2018,To establish own household,Tennessee,4455.23
2018,Other housing reason,Indiana,2547.01
2018,For cheaper housing,Tennessee,12064.71
2018,For easier commute,Georgia,6444.030000000001
2018,For cheaper housing,Florida,10127.039999999999
2018,Other family reason,Kentucky,1548.27
2018,Other job-related reason,Kentucky,2397.25
2018,New job or job transfer,Mississippi,4217.97
2018,To establish own household,Mississippi,1615.24
2018,To establish own household,North Dakota,8802.43
2018,Retired,Illinois,19348.42
2018,For cheaper housing,California,47466.99
2018,Change in marital status,Mississippi,2405.98
2018,Other family reason,Hawaii,8527.57
2018,Change in marital status,Hawaii,7666.2699999999995
2018,To look for work or lost job,Mississippi,1454.9
2018,Other family reason,Arkansas,2769.8199999999997
2018,Other family reason,Oregon,14718.92
2018,Other family reason,Louisiana,4776.12
2018,Health reasons,Louisiana,1904.56
2018,Other reasons,California,32766.63
2018,Change of climate,Washington,3431.0299999999997
2018,Other reasons,Oklahoma,1895.15
2018,To establish own household,Texas,9876.19
2018,Attend/leave college,Tennessee,616.61
2018,Natural disaster,Louisiana,2068.2200000000003
2018,Other reasons,Louisiana,902.3
2018,Other reasons,Minnesota,5247.37
2018,For cheaper housing,Louisiana,3659.3900000000003
2018,Other reasons,South Carolina,2337.72
2018,Wanted new or better housing,Tennessee,14340.79
2018,Other housing reason,Tennessee,2439.48
2018,New job or job transfer,Louisiana,13138.84
2018,Other job-related reason,Ohio,2609.92
2018,Other reasons,Missouri,1550.18
2018,For easier commute,Florida,11185.460000000001
2018,Other housing reason,Wisconsin,4168.63
2018,Other job-related reason,Tennessee,1801.22
2018,"Wanted to own home, not rent",Georgia,6755.62
2018,Natural disaster,Florida,6365.33
2018,Health reasons,Georgia,2141.92
2018,Other reasons,Texas,3527.01
2018,Attend/leave college,New Hampshire,4173.93
2018,Foreclosure or eviction,Tennessee,2048.52
2018,Other job-related reason,Missouri,4769.66
2018,For easier commute,Texas,2551.99
2018,Change of climate,New York,7911.06
2018,Attend/leave college,Maryland,2522.67
2018,Other housing reason,Alabama,1821.53
2018,Other family reason,Arizona,10780.34
2018,For easier commute,Arizona,1977.62
2018,Wanted better neighborhood,Kentucky,4631.41
2018,Other housing reason,Kentucky,18475.88
2018,Change in marital status,Kentucky,4237.65
2018,Change of climate,California,3443.08
2018,Other reasons,Indiana,4092.7
2018,For easier commute,Alabama,11364.939999999999
2018,Change in marital status,Illinois,4800.97
2018,Other job-related reason,Florida,6772.5
2018,Retired,Oklahoma,5803.33
2018,Other housing reason,Arizona,6433.86
2018,Other job-related reason,Arizona,2543.68
2018,Health reasons,Washington,973.06
2018,Retired,Virginia,418.21
2018,Health reasons,Idaho,750.67
2018,To look for work or lost job,Washington,554.79
2018,"Wanted to own home, not rent",Wyoming,3278.63
2018,Other housing reason,Washington,987.55
2018,Retired,Nevada,731.98
2018,Foreclosure or eviction,Montana,491.35
2018,For cheaper housing,Nevada,1496.65
2018,Foreclosure or eviction,Washington,684.73
2018,Other family reason,Utah,503.38
2018,Attend/leave college,South Dakota,424.4
2018,To establish own household,Oregon,2820.96
2018,Health reasons,California,8974.55
2018,For cheaper housing,Minnesota,1712.39
2018,Other job-related reason,District of Columbia,3668.16
2018,Change in marital status,District of Columbia,388.52
2018,Attend/leave college,North Carolina,2240.28
2018,Other family reason,Montana,3318.36
2018,Attend/leave college,North Dakota,402.99
2018,Other job-related reason,Nebraska,634.04
2018,To establish own household,Utah,2464.38
2018,Health reasons,Montana,282.17
2018,For easier commute,Kansas,6141.719999999999
2018,Change of climate,Wyoming,14038.92
2018,Retired,Connecticut,5529
2018,Other reasons,Wyoming,2052.43
2018,Change of climate,Virginia,9519.54
2018,Other reasons,Kansas,3723.09
2018,"Wanted to own home, not rent",Virginia,3202.85
2018,Wanted new or better housing,Mississippi,7737.610000000001
2018,Wanted better neighborhood,Montana,8281.91
2018,Attend/leave college,Arizona,3302.37
2018,Other job-related reason,Idaho,5397.76
2018,Health reasons,Pennsylvania,3450.44
2018,New job or job transfer,West Virginia,8164.86
2018,Health reasons,Colorado,3212.59
2018,"Wanted to own home, not rent",Montana,6623.46
2018,"Wanted to own home, not rent",Colorado,6325.58
2018,Health reasons,Ohio,2357.53
2018,Other housing reason,Oregon,15974.439999999999
2018,"Wanted to own home, not rent",Arizona,3677.7300000000005
2018,New job or job transfer,Wyoming,10626.79
2018,Attend/leave college,Idaho,1040.13
2018,Other reasons,Hawaii,2517.27
2018,Attend/leave college,Rhode Island,2334.3
2018,Other reasons,Idaho,835.31
2018,Wanted new or better housing,Rhode Island,821.69
2018,Health reasons,Illinois,2045.58
2018,To look for work or lost job,Arizona,7584.58
2018,Other housing reason,Colorado,6819.389999999999
2018,To establish own household,Iowa,2229
2018,Wanted better neighborhood,South Carolina,2620.94
2018,Change of climate,New Hampshire,4211.71
2018,Wanted new or better housing,Georgia,4314.71
2018,Attend/leave college,Oregon,3302.44
2018,Attend/leave college,Hawaii,3706.68
2018,Other job-related reason,West Virginia,6607.6
2018,Change in marital status,North Carolina,1873.6
2018,Health reasons,South Carolina,3470.37
2018,For easier commute,Washington,12918.64
2018,Wanted new or better housing,Alaska,3380.8199999999997
2018,Change in marital status,Washington,2738.63
2018,Other job-related reason,Michigan,3510.05
2018,Other job-related reason,Washington,3510.05
2018,Change of climate,North Carolina,7760.88
2018,Foreclosure or eviction,North Carolina,1667.07
2018,Health reasons,New York,7599.41
2018,For cheaper housing,Arizona,3730.44
2018,Health reasons,New Mexico,16514.92
2018,Other reasons,Washington,559.66
2018,Attend/leave college,Washington,1489.94
2018,Other reasons,Iowa,541.18
2018,Change in marital status,Nevada,1143.17
2018,For easier commute,Michigan,790.6
2019,To establish own household,Florida,2140.36
2019,New job or job transfer,Michigan,28933.61
2019,Other reasons,New Hampshire,864.1
2019,New job or job transfer,New Hampshire,5231.16
2019,Other family reason,Florida,66598.5
2019,Other family reason,New Hampshire,3297.95
2019,Other family reason,Maine,4926.13
2019,Natural disaster,Massachusetts,2463.8
2019,New job or job transfer,Louisiana,45999.48
2019,Other reasons,Alaska,2502.09
2019,To establish own household,Massachusetts,9890.6
2019,For cheaper housing,Massachusetts,1587.82
2019,Health reasons,Massachusetts,1408.02
2019,Other family reason,West Virginia,7899.22
2019,New job or job transfer,Connecticut,20490.88
2019,Other reasons,Maryland,9724.57
2019,Attend/leave college,Massachusetts,12017.91
2019,New job or job transfer,California,181387.86
2019,Other housing reason,California,5693.5
2019,To look for work or lost job,South Carolina,889.21
2019,Other family reason,Illinois,19842.91
2019,To look for work or lost job,Maryland,877.85
2019,Other family reason,Maryland,659.5799999999999
2019,Other housing reason,Rhode Island,3963.13
2019,Other reasons,Massachusetts,1042.98
2019,Other family reason,Massachusetts,12781.02
2019,Change in marital status,Pennsylvania,1421.76
2019,Retired,Connecticut,456.09
2019,Change of climate,Connecticut,456.09
2019,New job or job transfer,New York,53229.8
2019,Other reasons,Arizona,390.61
2019,Other housing reason,Massachusetts,739.51
2019,New job or job transfer,Pennsylvania,72633.28
2019,To look for work or lost job,Maine,706.8299999999999
2019,Other family reason,Connecticut,1906.4099999999999
2019,Wanted new or better housing,Connecticut,3170.37
2019,Attend/leave college,Pennsylvania,29223.32
2019,Other reasons,New York,25128.1
2019,Attend/leave college,Vermont,15176.2
2019,New job or job transfer,New Jersey,28627.27
2019,New job or job transfer,Indiana,18281.83
2019,New job or job transfer,Arizona,58465.25
2019,To look for work or lost job,New Hampshire,1208.59
2019,Other reasons,Connecticut,4501.58
2019,Attend/leave college,Texas,8527.53
2019,Other reasons,Maine,1256.24
2019,Other reasons,New Jersey,3691.18
2019,For cheaper housing,Connecticut,1564.08
2019,Other housing reason,Connecticut,3778.38
2019,Other reasons,Florida,6597.469999999999
2019,Other family reason,Pennsylvania,52413.65
2019,Change in marital status,Connecticut,5322.29
2019,Other family reason,Texas,20708.74
2019,New job or job transfer,Maine,6859.87
2019,New job or job transfer,Georgia,60893.46
2019,For cheaper housing,Washington,4226.58
2019,Other family reason,Rhode Island,5115.74
2019,Change in marital status,New York,36527.24
2019,For easier commute,Pennsylvania,42799.95
2019,Other family reason,New York,61591.520000000004
2019,For easier commute,New York,11594.33
2019,New job or job transfer,Texas,124051.34
2019,New job or job transfer,Ohio,35373.090000000004
2019,Other family reason,Ohio,13495.59
2019,Other housing reason,New York,5064.23
2019,Other family reason,Georgia,31088.78
2019,Change of climate,Florida,1167.34
2019,For cheaper housing,Florida,2106.29
2019,New job or job transfer,District of Columbia,20977.41
2019,New job or job transfer,Washington,73944.62
2019,New job or job transfer,Florida,69518.34
2019,For easier commute,Massachusetts,3714.7799999999997
2019,To establish own household,Pennsylvania,24131.739999999998
2019,"Wanted to own home, not rent",Pennsylvania,34284.46
2019,New job or job transfer,Alabama,35960.16
2019,Other family reason,California,86948.13
2019,Other reasons,California,35606.34
2019,Retired,Colorado,8222.85
2019,Other family reason,Missouri,17733.69
2019,New job or job transfer,Rhode Island,4278.33
2019,Attend/leave college,Maryland,5867.79
2019,New job or job transfer,Illinois,56636.11
2019,New job or job transfer,Virginia,47681.76
2019,Attend/leave college,Washington,8162.72
2019,To look for work or lost job,District of Columbia,2533.17
2019,New job or job transfer,Kansas,52092.08
2019,For easier commute,Washington,9110.45
2019,Other reasons,North Carolina,8304.62
2019,Wanted new or better housing,New Jersey,21036.36
2019,To establish own household,California,18966.3
2019,To look for work or lost job,Michigan,7691.51
2019,Wanted new or better housing,Pennsylvania,6265.049999999999
2019,Wanted new or better housing,Alabama,9609.44
2019,New job or job transfer,Vermont,3562.38
2019,New job or job transfer,Colorado,63269.6
2019,Wanted new or better housing,New York,9538.11
2019,New job or job transfer,Missouri,52685.23
2019,Attend/leave college,Tennessee,7079.15
2019,New job or job transfer,Tennessee,31455.4
2019,Other housing reason,Alabama,2848.45
2019,Health reasons,Alabama,5525.6
2019,"Wanted to own home, not rent",Virginia,3309.65
2019,Wanted better neighborhood,Pennsylvania,3448.9
2019,For cheaper housing,Pennsylvania,9544.84
2019,For cheaper housing,California,44734.39
2019,For easier commute,New Jersey,15001.15
2019,"Wanted to own home, not rent",Maryland,9221.8
2019,To establish own household,New Jersey,9060.48
2019,Health reasons,Georgia,5483.83
2019,Health reasons,Delaware,4219.18
2019,For cheaper housing,New York,18523.7
2019,"Wanted to own home, not rent",California,17893.38
2019,New job or job transfer,North Carolina,86231.3
2019,For cheaper housing,New Jersey,11867.29
2019,For easier commute,Ohio,5280.389999999999
2019,Wanted new or better housing,California,15882.77
2019,Other job-related reason,Maryland,4820.41
2019,New job or job transfer,Oklahoma,36520.72
2019,New job or job transfer,Massachusetts,19687.44
2019,Other family reason,New Jersey,5620.7
2019,To establish own household,Wisconsin,12276.02
2019,New job or job transfer,Mississippi,4095.6
2019,For cheaper housing,Colorado,4925.4800000000005
2019,Health reasons,Florida,15098.05
2019,Other family reason,Indiana,19196.68
2019,Other family reason,Michigan,8212.96
2019,Health reasons,Indiana,4994.16
2019,To establish own household,Alabama,7939.5
2019,Other housing reason,West Virginia,4577.26
2019,New job or job transfer,Kentucky,25378.329999999998
2019,Other reasons,Nevada,3447.99
2019,New job or job transfer,West Virginia,9930.880000000001
2019,Attend/leave college,Colorado,16823.14
2019,To establish own household,Washington,6200.63
2019,New job or job transfer,Nevada,52707.89
2019,Other reasons,Washington,6489.67
2019,Wanted new or better housing,Missouri,9823.61
2019,Other family reason,Nevada,14233.34
2019,Health reasons,Mississippi,5029.4
2019,Attend/leave college,Michigan,2375.99
2019,Health reasons,Wisconsin,3322.96
2019,Other family reason,Colorado,8651.18
2019,Attend/leave college,Indiana,5628.49
2019,Other reasons,Michigan,7675.91
2019,New job or job transfer,Iowa,38524.18
2019,Other reasons,Alabama,3791.1899999999996
2019,To establish own household,New York,20411.010000000002
2019,To establish own household,Texas,12964.220000000001
2019,Wanted new or better housing,Wisconsin,11043.41
2019,Health reasons,Illinois,3386.62
2019,"Wanted to own home, not rent",Wisconsin,1955.96
2019,Other reasons,Wisconsin,2319.84
2019,Wanted new or better housing,Texas,9022.220000000001
2019,Health reasons,North Carolina,22066.54
2019,To look for work or lost job,Illinois,3653.1499999999996
2019,Attend/leave college,Minnesota,7456.860000000001
2019,Attend/leave college,Illinois,34308.56
2019,To establish own household,North Carolina,17852.83
2019,New job or job transfer,Wisconsin,32873.65
2019,Attend/leave college,California,4673.36
2019,Change in marital status,Illinois,10764.32
2019,Wanted better neighborhood,California,5061.8099999999995
2019,Other reasons,Illinois,4204.42
2019,For cheaper housing,Michigan,2566.04
2019,Other housing reason,Illinois,15805.439999999999
2019,Other reasons,Minnesota,4303.1
2019,Other family reason,Kansas,9964.9
2019,New job or job transfer,North Dakota,26738.3
2019,To establish own household,Kansas,3318.69
2019,To establish own household,Mississippi,12286.06
2019,Other family reason,South Carolina,6811.92
2019,Attend/leave college,Iowa,6353.22
2019,Other family reason,North Dakota,14464.630000000001
2019,Wanted new or better housing,North Dakota,3613.83
2019,To establish own household,Michigan,2018.69
2019,To establish own household,Nebraska,5580.280000000001
2019,To look for work or lost job,Nevada,1695.89
2019,Other job-related reason,Georgia,15671.07
2019,New job or job transfer,Nebraska,19546.14
2019,For easier commute,Nebraska,5000.24
2019,For cheaper housing,Texas,8778.16
2019,Other family reason,Minnesota,11711.52
2019,Health reasons,Minnesota,7136.98
2019,Foreclosure or eviction,Iowa,10693.78
2019,Change of climate,Arizona,8165.58
2019,Other housing reason,Texas,2163.46
2019,New job or job transfer,Hawaii,57783.18
2019,Wanted new or better housing,Hawaii,1867.95
2019,Other family reason,Hawaii,18751.82
2019,Health reasons,Arkansas,3608.04
2019,New job or job transfer,Arkansas,10005.48
2019,Other family reason,Virginia,18366.71
2019,Other family reason,Wisconsin,15267.91
2019,New job or job transfer,Alaska,22595.97
2019,"Wanted to own home, not rent",Arkansas,10256.87
2019,New job or job transfer,Montana,1819.12
2019,Wanted new or better housing,Minnesota,2583.56
2019,New job or job transfer,Oregon,15061.55
2019,Attend/leave college,Montana,255.02
2019,To establish own household,Minnesota,2489.23
2019,New job or job transfer,Minnesota,20155.3
2019,Other family reason,Washington,3948.82
2019,New job or job transfer,South Dakota,3465.63
2019,For easier commute,Minnesota,729.92
2019,Other reasons,South Dakota,245.97
2019,Attend/leave college,Nebraska,6094.53
2019,Health reasons,North Dakota,3715.02
2019,Change in marital status,South Dakota,7515.54
2019,Change in marital status,North Dakota,16874.07
2019,Foreclosure or eviction,North Dakota,1460.31
2019,Other family reason,South Dakota,1006.53
2019,Other family reason,Oregon,3671.68
2019,"Wanted to own home, not rent",Iowa,3105.06
2019,"Wanted to own home, not rent",Illinois,2558.0299999999997
2019,Attend/leave college,Arizona,1937.9199999999998
2019,Change in marital status,Oklahoma,3808.42
2019,Other family reason,Oklahoma,5394.92
2019,Retired,Oklahoma,1698.71
2019,Other family reason,Iowa,3335.82
2019,To establish own household,Missouri,5598.32
2019,Other reasons,Texas,4976.75
2019,Other reasons,Missouri,1036.48
2019,"Wanted to own home, not rent",Missouri,8142.03
2019,Attend/leave college,Oklahoma,8380.38
2019,To look for work or lost job,Colorado,4986.93
2019,Wanted new or better housing,Colorado,5604.41
2019,For easier commute,Mississippi,1183.91
2019,Attend/leave college,New Jersey,3134.1200000000003
2019,New job or job transfer,Maryland,21802.66
2019,For easier commute,Maryland,11001.45
2019,Other reasons,Pennsylvania,2830.1800000000003
2019,"Wanted to own home, not rent",Texas,4202.0599999999995
2019,Other family reason,North Carolina,20170.420000000002
2019,Other housing reason,Virginia,8069.040000000001
2019,Attend/leave college,New York,20727.83
2019,Attend/leave college,Kansas,3423.3199999999997
2019,Attend/leave college,North Carolina,6072.35
2019,Change in marital status,Virginia,5449.83
2019,To establish own household,District of Columbia,5786.12
2019,Foreclosure or eviction,Maryland,451.93
2019,New job or job transfer,South Carolina,13578.34
2019,Wanted new or better housing,Virginia,3695.36
2019,Attend/leave college,Virginia,9590.78
2019,Health reasons,Maryland,2615.63
2019,Other reasons,Virginia,1429.49
2019,Other housing reason,Tennessee,1892.37
2019,Change in marital status,Maryland,234.99
2019,For easier commute,Virginia,1782.06
2019,Other reasons,Louisiana,3522.02
2019,For cheaper housing,Missouri,1051.95
2019,Retired,Virginia,6517.12
2019,To look for work or lost job,New York,473.39
2019,To establish own household,Maryland,1351.94
2019,Wanted new or better housing,Maryland,947.78
2019,Wanted better neighborhood,Maryland,752.85
2019,For cheaper housing,Virginia,420.34
2019,Other housing reason,Maryland,267.29
2019,Attend/leave college,Florida,2131.73
2019,For cheaper housing,Maryland,25931.85
2019,Other family reason,District of Columbia,8701.22
2019,New job or job transfer,Utah,27363.899999999998
2019,For easier commute,North Carolina,11258.09
2019,Other reasons,District of Columbia,5390.2
2019,Foreclosure or eviction,New Jersey,9535.74
2019,Attend/leave college,Idaho,1796.77
2019,Health reasons,Virginia,696.16
2019,Wanted new or better housing,Ohio,379.27
2019,To establish own household,Illinois,4542.31
2019,Health reasons,Pennsylvania,494.11
2019,Wanted better neighborhood,Virginia,1478.64
2019,Health reasons,Oregon,604.77
2019,Change in marital status,North Carolina,598.9
2019,Other reasons,Ohio,10182.27
2019,To look for work or lost job,Hawaii,3616.02
2019,Other family reason,Louisiana,9643.89
2019,Change of climate,Pennsylvania,4853.9
2019,To establish own household,Arizona,12786.74
2019,Other job-related reason,Pennsylvania,8528.92
2019,Other job-related reason,Ohio,4813.33
2019,Other job-related reason,Oklahoma,10819.27
2019,Other housing reason,Florida,4333.42
2019,Retired,Georgia,3787.61
2019,Change in marital status,Florida,3872.31
2019,Retired,New York,23500.24
2019,Change of climate,Iowa,28581.67
2019,Change of climate,Ohio,14828.66
2019,Change in marital status,Georgia,5619.37
2019,Other family reason,New Mexico,4235.02
2019,To look for work or lost job,Tennessee,2919.46
2019,Change of climate,Maine,4140.36
2019,Other reasons,Georgia,8997.84
2019,Wanted new or better housing,Georgia,20555.420000000002
2019,Change of climate,New Jersey,15339.47
2019,Other housing reason,New Jersey,14996.949999999999
2019,Wanted new or better housing,North Carolina,14874.87
2019,To establish own household,South Carolina,11203.24
2019,To establish own household,Georgia,28153.55
2019,Change of climate,Illinois,3249.55
2019,Other job-related reason,California,4554.759999999999
2019,Health reasons,California,7841.1900000000005
2019,Other family reason,Alaska,6898.49
2019,Change of climate,New York,19143.61
2019,Change of climate,Massachusetts,10740.32
2019,Change of climate,Texas,7935.72
2019,Other reasons,Colorado,8979.81
2019,Retired,Illinois,13581.48
2019,Retired,Indiana,3386.46
2019,Wanted new or better housing,Indiana,6404.9
2019,To establish own household,Louisiana,16118.98
2019,Wanted new or better housing,West Virginia,2958.78
2019,Change in marital status,California,4968.1900000000005
2019,Change in marital status,Tennessee,2396.04
2019,Other family reason,Tennessee,4534.75
2019,To establish own household,Ohio,10527.55
2019,To look for work or lost job,Indiana,2863.99
2019,For cheaper housing,Hawaii,8652.26
2019,Wanted new or better housing,Kentucky,5035.98
2019,Other housing reason,Kentucky,2304.92
2019,Other family reason,Alabama,9687.89
2019,Retired,Kentucky,12798.990000000002
2019,Retired,California,8318.56
2019,Change in marital status,Texas,3003.39
2019,Attend/leave college,Georgia,9411.11
2019,To look for work or lost job,Georgia,4930.41
2019,Other housing reason,Georgia,745.82
2019,Other housing reason,Arkansas,7793.59
2019,Other housing reason,Iowa,3073.7999999999997
2019,"Wanted to own home, not rent",Kentucky,1933.8
2019,Change of climate,California,6051.8099999999995
2019,Foreclosure or eviction,Alabama,3658.3199999999997
2019,Change in marital status,Minnesota,1137.08
2019,Other housing reason,Louisiana,802.36
2019,"Wanted to own home, not rent",Louisiana,2145.26
2019,To look for work or lost job,Missouri,1633.33
2019,Other family reason,Arkansas,1521.65
2019,Health reasons,Tennessee,2586.36
2019,To establish own household,Arkansas,2050.87
2019,New job or job transfer,Idaho,11719.75
2019,Other reasons,Oklahoma,3150.22
2019,Other family reason,Arizona,5197.65
2019,Wanted new or better housing,Arkansas,9462.380000000001
2019,Other housing reason,Mississippi,1442.33
2019,Other job-related reason,New York,8603.47
2019,Attend/leave college,Ohio,1654.2
2019,Wanted new or better housing,Illinois,3894.64
2019,To look for work or lost job,Arkansas,2179.51
2019,Change in marital status,Arkansas,1731.72
2019,Health reasons,Colorado,1602.8
2019,Retired,Nevada,2504.6
2019,For easier commute,Florida,11482.93
2019,Change of climate,Michigan,3729.22
2019,New job or job transfer,Delaware,16254.24
2019,To establish own household,Virginia,11724.94
2019,Other family reason,Idaho,18590.62
2019,To look for work or lost job,North Carolina,3840.59
2019,Other reasons,Montana,5827.12
2019,For cheaper housing,Nevada,11326.5
2019,To look for work or lost job,Minnesota,470.33
2019,Retired,Ohio,415.13
2019,Attend/leave college,Wyoming,327.65
2019,Change of climate,Oregon,10871.199999999999
2019,Change of climate,New Mexico,3822.1
2019,Wanted new or better housing,Idaho,492
2019,Other job-related reason,Washington,22150.68
2019,Attend/leave college,Louisiana,1193.47
2019,Other reasons,North Dakota,605.8
2019,For cheaper housing,North Dakota,690.66
2019,Change of climate,Washington,1238.5
2019,Change in marital status,Utah,367.97
2019,For easier commute,Utah,3824.0099999999998
2019,Retired,New Jersey,821.96
2019,To look for work or lost job,Oregon,3499.72
2019,Change in marital status,Oregon,708.38
2019,Other family reason,Montana,2163.58
2019,To look for work or lost job,California,4618.76
2019,Other family reason,Utah,6297.37
2019,To establish own household,Montana,5596.46
2019,Other reasons,Wyoming,735.79
2019,Change in marital status,Idaho,342.57
2019,Health reasons,Washington,13588.619999999999
2019,For cheaper housing,Utah,2158.54
2019,Natural disaster,Texas,1203.6599999999999
2019,"Wanted to own home, not rent",Colorado,334.22
2019,Wanted new or better housing,Kansas,3311.52
2019,Other housing reason,North Carolina,7180.73
2019,Wanted new or better housing,Iowa,8236.35
2019,To establish own household,Oregon,7463.88
2019,Change of climate,Minnesota,10742.539999999999
2019,Change in marital status,Michigan,633.48
2019,Health reasons,Arizona,349.12
2019,Other housing reason,Arizona,5202.77
2019,For easier commute,Texas,1269.06
2019,Other reasons,Idaho,11024.79
2019,Other family reason,Wyoming,1872.49
2019,Change of climate,Utah,4169.49
2019,Other job-related reason,Missouri,8211.74
2019,"Wanted to own home, not rent",Minnesota,5811.08
2019,Retired,Texas,15871.759999999998
2019,Change in marital status,Nevada,18900.74
2019,Wanted new or better housing,Nevada,10680.960000000001
2019,Wanted new or better housing,Washington,4127.46
2019,"Wanted to own home, not rent",Washington,4254.04
2019,Attend/leave college,Missouri,18942.98
2019,For cheaper housing,Oregon,6217.44
2019,Other reasons,Hawaii,1730.51
2019,Other job-related reason,Arizona,1247.05
